historian,period_label,year
Everett Fahy,Renaissance,1995
Everett Fahy,Renaissance,1996
Everett Fahy,Renaissance,1997
Everett Fahy,Renaissance,1998
Everett Fahy,Renaissance,1999
Everett Fahy,Renaissance,2000
Everett Fahy,Renaissance,2001
Everett Fahy,Renaissance,2002
Everett Fahy,Renaissance,2003
Everett Fahy,Renaissance,2004
Everett Fahy,Renaissance,2005
Everett Fahy,Renaissance,2006
Everett Fahy,Renaissance,2007
Everett Fahy,Renaissance,2008
Everett Fahy,Renaissance,2009
Everett Fahy,Renaissance,2010
Everett Fahy,Renaissance,2011
Everett Fahy,Renaissance,2012
Everett Fahy,Renaissance,2013
Everett Fahy,Renaissance,2014
Everett Fahy,Renaissance,2015
Everett Fahy,Renaissance,2016
Everett Fahy,Renaissance,2017
Everett Fahy,Renaissance,2018
Federico Zeri,Renaissance,1947
Federico Zeri,Renaissance,1948
Federico Zeri,Renaissance,1949
Federico Zeri,Renaissance,1950
Federico Zeri,Renaissance,1951
Federico Zeri,Renaissance,1952
Federico Zeri,Renaissance,1953
Federico Zeri,Renaissance,1954
Federico Zeri,Renaissance,1955
Federico Zeri,Renaissance,1956
Federico Zeri,Renaissance,1957
Federico Zeri,Renaissance,1958
Federico Zeri,Renaissance,1959
Federico Zeri,Renaissance,1960
Federico Zeri,Renaissance,1961
Federico Zeri,Renaissance,1962
Federico Zeri,Renaissance,1963
Federico Zeri,Renaissance,1964
Federico Zeri,Renaissance,1965
Federico Zeri,Renaissance,1966
Federico Zeri,Renaissance,1967
Federico Zeri,Renaissance,1968
Federico Zeri,Renaissance,1969
Federico Zeri,Renaissance,1970
Federico Zeri,Renaissance,1971
Federico Zeri,Renaissance,1972
Federico Zeri,Renaissance,1973
Federico Zeri,Renaissance,1974
Federico Zeri,Renaissance,1975
Federico Zeri,Renaissance,1976
Federico Zeri,Renaissance,1977
Federico Zeri,Renaissance,1978
Federico Zeri,Renaissance,1979
Federico Zeri,Renaissance,1980
Federico Zeri,Renaissance,1981
Federico Zeri,Renaissance,1982
Federico Zeri,Renaissance,1983
Federico Zeri,Renaissance,1984
Federico Zeri,Renaissance,1985
Federico Zeri,Renaissance,1986
Federico Zeri,Renaissance,1987
Federico Zeri,Renaissance,1988
Federico Zeri,Renaissance,1989
Federico Zeri,Renaissance,1990
Federico Zeri,Renaissance,1991
Federico Zeri,Renaissance,1992
Federico Zeri,Renaissance,1993
Federico Zeri,Renaissance,1994
Federico Zeri,Renaissance,1995
Federico Zeri,Renaissance,1996
Federico Zeri,Renaissance,1997
Federico Zeri,Renaissance,1998
Federico Zeri,Renaissance,2000
Fritz Heinemann,Renaissance,1925
Fritz Heinemann,Renaissance,1926
Fritz Heinemann,Renaissance,1927
Fritz Heinemann,Renaissance,1928
Fritz Heinemann,Renaissance,1929
Fritz Heinemann,Renaissance,1930
Fritz Heinemann,Renaissance,1931
Fritz Heinemann,Renaissance,1932
Fritz Heinemann,Renaissance,1933
Fritz Heinemann,Renaissance,1934
Fritz Heinemann,Renaissance,1935
Fritz Heinemann,Renaissance,1936
Fritz Heinemann,Renaissance,1937
Fritz Heinemann,Renaissance,1938
Fritz Heinemann,Renaissance,1939
Fritz Heinemann,Renaissance,1940
Fritz Heinemann,Renaissance,1941
Fritz Heinemann,Renaissance,1942
Fritz Heinemann,Renaissance,1943
Fritz Heinemann,Renaissance,1944
Fritz Heinemann,Renaissance,1945
Fritz Heinemann,Renaissance,1946
Fritz Heinemann,Renaissance,1947
Fritz Heinemann,Renaissance,1948
Fritz Heinemann,Renaissance,1949
Fritz Heinemann,Renaissance,1950
Fritz Heinemann,Renaissance,1951
Fritz Heinemann,Renaissance,1952
Fritz Heinemann,Renaissance,1953
Fritz Heinemann,Renaissance,1954
Fritz Heinemann,Renaissance,1955
Fritz Heinemann,Renaissance,1956
Fritz Heinemann,Renaissance,1957
Fritz Heinemann,Renaissance,1958
Fritz Heinemann,Renaissance,1959
Fritz Heinemann,Renaissance,1960
Fritz Heinemann,Renaissance,1961
Fritz Heinemann,Renaissance,1962
Fritz Heinemann,Renaissance,1963
Fritz Heinemann,Renaissance,1964
Fritz Heinemann,Renaissance,1965
Fritz Heinemann,Renaissance,1966
Fritz Heinemann,Renaissance,1967
Fritz Heinemann,Renaissance,1968
Fritz Heinemann,Renaissance,1969
Fritz Heinemann,Renaissance,1970
Fritz Heinemann,Renaissance,1980
Fritz Heinemann,Renaissance,1981
Gustav Ludwig,Renaissance,1881
Gustav Ludwig,Renaissance,1903
John Pope-Hennessy,Renaissance,1930
John Pope-Hennessy,Renaissance,1931
John Pope-Hennessy,Renaissance,1932
John Pope-Hennessy,Renaissance,1933
John Pope-Hennessy,Renaissance,1934
John Pope-Hennessy,Renaissance,1935
John Pope-Hennessy,Renaissance,1936
John Pope-Hennessy,Renaissance,1937
John Pope-Hennessy,Renaissance,1938
John Pope-Hennessy,Renaissance,1939
John Pope-Hennessy,Renaissance,1940
John Pope-Hennessy,Renaissance,1941
John Pope-Hennessy,Renaissance,1942
John Pope-Hennessy,Renaissance,1943
John Pope-Hennessy,Renaissance,1944
John Pope-Hennessy,Renaissance,1945
John Pope-Hennessy,Renaissance,1946
John Pope-Hennessy,Renaissance,1947
John Pope-Hennessy,Renaissance,1948
John Pope-Hennessy,Renaissance,1949
John Pope-Hennessy,Renaissance,1950
John Pope-Hennessy,Renaissance,1951
John Pope-Hennessy,Renaissance,1952
John Pope-Hennessy,Renaissance,1953
John Pope-Hennessy,Renaissance,1954
John Pope-Hennessy,Renaissance,1955
John Pope-Hennessy,Renaissance,1956
John Pope-Hennessy,Renaissance,1957
John Pope-Hennessy,Renaissance,1958
John Pope-Hennessy,Renaissance,1959
John Pope-Hennessy,Renaissance,1960
John Pope-Hennessy,Renaissance,1961
John Pope-Hennessy,Renaissance,1962
John Pope-Hennessy,Renaissance,1963
John Pope-Hennessy,Renaissance,1964
John Pope-Hennessy,Renaissance,1965
John Pope-Hennessy,Renaissance,1966
John Pope-Hennessy,Renaissance,1967
John Pope-Hennessy,Renaissance,1968
John Pope-Hennessy,Renaissance,1969
John Pope-Hennessy,Renaissance,1970
