historian,period_label,interest,year,publication_title
Everett Fahy,Renaissance,Cosimo Rosselli,2001,Cosimo Rosselli : painter of the Sistine Chapel
John Pope-Hennessy,Renaissance,Renaissance,1965,"Renaissance bronzes from the Samuel H. Kress collection: reliefs, plaquettes, statuettes, utensils and mortars"
Fritz Heinemann,Renaissance,Giovanni Bellini,1991,Giovanni Bellini e i Belliniani
Ulrich Middeldorf,Renaissance,Renaissance,,"Ulrich Middeldorf Papers, ca. 1925-1981."
Ernst Steinmann,Renaissance,Sistine Chapel,1905,Die Sixtinische Kapelle
Werner Cohn,Renaissance,Hans Holbein,1929,"Der Wandel der Architekturgestaltung in den Werken Hans Holbeins d. j., ein Beitrag zur Holbein-Chronologie"
Ernst Steinmann,Renaissance,Renaissance,1899,Rom in der renaissance von Nicolaus V. bis auf Julius II
Kornél Fabriczy,Renaissance,Renaissance,1900,Medaillen der italienischen renaissance
John Pope-Hennessy,Renaissance,Italian Renaissance,,"Papers, ca. 1900-1994."
Everett Fahy,Renaissance,Andrea Mantegna,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Kurt Badt,Renaissance,Andrea Solari,1914,"Andrea Solario, sein Leben und seine Werke; ein Beitrag zur Kunstgeschichte der Lombardei"
Aby Warburg,Renaissance,Renaissance,1998,Photographs at the frontier : Aby Warburg in America 1895-1896
Ernst Steinmann,Renaissance,Sandro Botticelli,1925,Botticelli
Julian Kliemann,Renaissance,Raphael,2004,Italian frescoes : the high Renaissance to the Baroque
Wolfgang Lotz,Renaissance,Renaissance,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Aby Warburg,Renaissance,Italian Renaissance,2013,Il primo Rinascimento italiano: Sette conferenze inedite
Aby Warburg,Renaissance,Renaissance,2013,Il primo Rinascimento italiano: Sette conferenze inedite
Fritz Heinemann,Renaissance,Giovanni Bellini,1062,Giovanni Bellini e i belliniani
Werner Cohn,Renaissance,Fra Angelico,1956,Nuovi documenti per il B. Angelico
Richard Krautheimer,Renaissance,Titian,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Ulrich Middeldorf,Renaissance,Filippo Lippi,,Ulrich Alexander Middeldorf papers 1925-1981
Ernst Steinmann,Renaissance,Michelangelo,1932,Michelangelo e Luigi del Riccio : con documenti inediti
Wolfgang Lotz,Renaissance,Renaissance,1955,The northern Renaissance
Ellis Waterhouse,Renaissance,Filippo Lippi,,"Papers relating to British museums and art institutions, 1916-1990."
John Pope-Hennessy,Renaissance,Renaissance,1969,Sculpture: Renaissance to rococo
Werner Cohn,Renaissance,Hans Holbein,1930,Der Wandel der Architekturgestaltung in den Werken Hans Holbeins d.J.: ein Beitrag zur Holbein-Chronologie
Ulrich Middeldorf,Renaissance,Raphael,1945,Raphael's drawings
Ulrich Middeldorf,Renaissance,Renaissance,,Ulrich Alexander Middeldorf papers 1925-1981
Federico Zeri,Renaissance,Filippo Lippi,,"Correspondence regarding purchase of paintings : 1956 June - 1957 Feb. Case 25, File 1. 1956 June - 1957 Feb."
Julian Kliemann,Renaissance,High Renaissance,2004,"Italian frescoes, high Renaissance and mannerism, 1510-1600"
Julian Kliemann,Renaissance,Quattrocento,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Leo Steinberg,Renaissance,Pinturicchio,2020,Renaissance and baroque art : selected essays
Leo Steinberg,Renaissance,The Crucifixion of St. Peter,2019,Michelangelo's painting : selected essays
Kurt Badt,Renaissance,Raphael,1959,Raphael's Incendio del Borgo
Kornél Fabriczy,Renaissance,Filippo Brunelleschi,1979,Filippo Brunelleschi : la vita e le opere
Fritz Heinemann,Renaissance,Titian,1980,La bottega di Tiziano
Wolfgang Lotz,Renaissance,Renaissance,1972,"Architecture in Italy, 1400 to 1600"
Wolfgang Lotz,Renaissance,Renaissance architecture,1975,Studies in Italian Renaissance architecture
Leo Steinberg,Renaissance,Sistine Chapel,2019,Michelangelo's painting : selected essays
Luisa Vertova,Renaissance,Giovanni Bellini,1949,Giovanni Bellini
Julian Kliemann,Renaissance,Renaissance,2004,"Italian frescoes, high Renaissance and mannerism, 1510-1600"
Werner Cohn,Renaissance,Quattrocento,1960,Maestri sconosciuti del Quattrocento Fiorentino
Luisa Vertova,Renaissance,Giorgione,1994,"Caravaggio, his incongruity and his fame"
Werner Cohn,Renaissance,Hans Holbein,1939,Two glass panels after designs by Hans Holbein
Luisa Vertova,Renaissance,Paolo Veronese,1952,Veronese
Richard Krautheimer,Renaissance,Michelangelo,1971,Ghiberti's bronze doors
Stefano Tumidei,Renaissance,Federico Zuccari,2011,Studi sulla pittura in Emilia e in Romagna : da Melozzo a Federico Zuccari : 1987-2008
Leo Steinberg,Renaissance,Michelangelo,2018,Michelangelo's sculpture : selected essays
Ulrich Middeldorf,Renaissance,Renaissance,1984,A corpus of Italian medals of the renaissance before Cellini
Ulrich Middeldorf,Renaissance,Quattrocento,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
Ulrich Middeldorf,Renaissance,Cosimo Rosselli,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
Stefano Tumidei,Renaissance,Michelangelo,2002,Il Michelangelo incognito : Alessandro Menganti e le arti a Bologna nell'età della Controriforma
Ellis Waterhouse,Renaissance,Giorgione,1974,Giorgione
Leo Steinberg,Renaissance,Giacomo della Porta,2002,Robert Rauschenberg
John Pope-Hennessy,Renaissance,Renaissance,1958,Italian renaissance sculpture
Ulrich Middeldorf,Renaissance,Filippo Lippi,,"Ulrich Middeldorf Papers, ca. 1925-1981."
Everett Fahy,Renaissance,Renaissance,1979,The legacy of Leonardo : Italian Renaissance paintings from Leningrad
Federico Zeri,Renaissance,Titian,2000,"Titian, sacred and profane love"
Julian Kliemann,Renaissance,Paolo Veronese,2004,Italian frescoes : the high Renaissance to the Baroque
Kornél Fabriczy,Renaissance,Italian Renaissance,1900,Medaillen der italienischen renaissance
John Pope-Hennessy,Renaissance,Quattrocento,1947,Sienese quattrocento painting
Ulrich Middeldorf,Renaissance,Renaissance,,"Harald Keller papers, 1930-1989."
Aby Warburg,Renaissance,Renaissance,1932,The renewal of pagan antiquity : contributions to the cultural history of the European Renaissance
Leo Steinberg,Renaissance,Michelangelo,1975,"Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace"
Wolfgang Lotz,Renaissance,Titian,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Ellis Waterhouse,Renaissance,El Greco,,"Notebooks and research files, 1801-1987 (bulk 1924-1979)."
Stefano Tumidei,Renaissance,Marco Palmezzano,2005,Marco Palmezzano : il Rinascimento nelle Romagne
Julian Kliemann,Renaissance,Renaissance,2004,Fresques italiennes du XVIe siècle : de Michel-Ange aux Carrache : 1510-1600
Ulrich Middeldorf,Renaissance,Renaissance,2001,Early Renaissance reliefs
Luisa Vertova,Renaissance,Domenico Ghirlandaio,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Luisa Vertova,Renaissance,Fra Angelico,1951,Beato Angelico
Everett Fahy,Renaissance,Sistine Chapel,2001,Cosimo Rosselli : painter of the Sistine Chapel
Wolfgang Lotz,Renaissance,Renaissance,1956,Das Raumbild in der italienischen Architekturzeichnung der Renaissance
Leo Steinberg,Renaissance,Renaissance,2018,Michelangelo's sculpture : selected essays
Aby Warburg,Renaissance,Giacomo della Porta,1998,Photographs at the frontier : Aby Warburg in America 1895-1896
John Pope-Hennessy,Renaissance,Fra Angelico,1974,Fra Angelico
Ernst Steinmann,Renaissance,Michelangelo,1906,Das geheimnis der Medicigraeber Michel Angelos
John Pope-Hennessy,Renaissance,Filippo Lippi,,"Heim Gallery records, 1965-1991."
Ernst Steinmann,Renaissance,Michelangelo,1938,Die Aufzeichnungen des Michelangelo Buonarroti im Britischen Museum in London und im Vermächtnis Ernst Steinmann in Rom
Aby Warburg,Renaissance,Giorgio Vasari,1998,Aby Warburg and the image in motion
Richard Krautheimer,Renaissance,Filippo Lippi,,"Belle Krasne Ribicoff papers, 1942-circa 2010, bulk 1945-2004."
Julian Kliemann,Renaissance,Michelangelo,2004,Italian frescoes : the high Renaissance to the Baroque
