historian,period_label,interest,year,publication_title
Wolfgang Lotz,16th century,16th century,1995,"Architecture in Italy, 1500-1600"
Wolfgang Lotz,16th century,16th century,1974,Architecture in Italy 1400-1600
Julian Kliemann,16th century,16th century,2004,Fresques italiennes du XVIe siècle : de Michel-Ange aux Carrache : 1510-1600
Julian Kliemann,16th century,16th century,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Everett Fahy,16th century,16th century,2005,The Wrightsman pictures
Wolfgang Lotz,16th century,16th century,1997,Architettura in Italia : 1500-1600
Wolfgang Lotz,16th century,16th century,1955,Die ovalen Kirchenräume des Cinquecento
Julian Kliemann,16th century,16th century,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Ulrich Middeldorf,16th century,16th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
Wolfgang Lotz,16th century,16th century,1975,Galeazzo Alessi e l'architettura del Cinquecento : atti del convegno internazionale di studi Genova 16-20 Aprile 1974
Luisa Vertova,16th century,16th century,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Wolfgang Lotz,16th century,16th century,1958,Redefinitions of Style: Architecture in the Later 16th Century
Ulrich Middeldorf,16th century,16th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Ellis Waterhouse,16th century,16th century,1988,The dictionary of 16th century & 17th century British painters
