"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q347842","Giovanni di Niccol� Mansueti"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9440","Paolo Veronese"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q506483","Sebastiano Ricci"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q338367","Accademia Carrara"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598457992900","painting,"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3664403","Cenobio"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598459421174","C. Gamba"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q20817531","Bellini family"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598459669797","F.L. Richardson"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q17169","Giovanni Bellini"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q37853","baroque"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1598459503976","Carlo Tridenti"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q365852","Arnold Hauser"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q935534","Antonio Vivarini"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q47551","Titian"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q3664403","Cenobio"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q20817531","Bellini family"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1598459693801","P. Pellizzari"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1598459669797","F.L. Richardson"
