subject,subjectLabel,typeOfInterest,interest,interestLabel
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3705445,Denis Mahon
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q4345530,Northern Italy
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1891,Bologna
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q2538308,Jacopino del Conte
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q2751,Siena
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3757699,Galleria Spada
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1414089,art theory
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3769356,Giuliano Briganti
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q35986,aesthetics
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q641,Venice
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q49088,Columbia University
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1361667,Roberto Longhi
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q35548,Paul Cezanne
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3374370,Italian painting
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q131808,Mannerism
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q80113,expressionism
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,Italian sculpture,
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,Dance in art,
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1089074,Federico Zeri
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q549847,Primavera
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q807815,Barberini
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q47551,Titian
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q5891,philosophy
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q860746,modern philosophy
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q70787,Duchess Sibylle of Saxe-Lauenburg
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q15885248,Renaissance painting
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q641,Venice
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1060159,Thomas Wayne
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1028181,painter
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3305213,painting
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q17169,Giovanni Bellini
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q38066,existentialism
http://www.wikidata.org/entity/Q1271052,Fritz Heinemann,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q27479,Northern Europe
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q15885248,Renaissance painting
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q7017,16th century
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,Architects and patrons,
