historian,period_label,interest,year,publication_title
Richard Krautheimer,Gothic art,Gothic sculpture,1959,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Impressionism,Impressionism,1953,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1981,"Harald Keller papers, 1930-1989."
John Pope-Hennessy,Renaissance,Renaissance sculpture,1958,Italian Renaissance sculpture
Richard Krautheimer,Gothic art,Gothic sculpture,1943,"Harald Keller papers, 1930-1989."
Ulrich Middeldorf,15th century,15th century,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
Wolfgang Lotz,16th century,16th century,1975,Galeazzo Alessi e l'architettura del Cinquecento : atti del convegno internazionale di studi Genova 16-20 Aprile 1974
Ulrich Middeldorf,Renaissance,Raphael,1983,Raphael and the ruins of Rome: the poetic dimension: in memory of Ulrich Middeldorf 1901 - 1983
Richard Krautheimer,Baroque,Baroque,1973,"Harald Keller papers, 1930-1989."
Everett Fahy,Renaissance,Domenico Ghirlandaio,1976,Some Followers of Domenico Ghirlandaio
Ulrich Middeldorf,16th century,16th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Julian Kliemann,Mannerism,Mannerism,2004,"Italian frescoes, high Renaissance and mannerism, 1510-1600"
Richard Krautheimer,Baroque,Baroque,1962,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1962,"Harald Keller papers, 1930-1989."
Leo Steinberg,Renaissance,The Last Supper,2001,Leonardo's incessant Last Supper
Richard Krautheimer,Impressionism,Impressionism,1946,"Harald Keller papers, 1930-1989."
Fritz Heinemann,Renaissance,Paolo Veronese,1981,Neue Beiträge zum Werk Paolo Veroneses
Stefano Tumidei,medieval art,medieval art,2000,Duecento : forme e colori del Medioevo a Bologna
Julian Kliemann,Renaissance,Michelangelo,2010,Michelangelo und die Fassade von San Lorenzo in Florenz: zur Geschichte der Skulpturenfassade der Renaissance
Ernst Steinmann,Renaissance,Pinturicchio,1898,Pinturicchio
Richard Krautheimer,Baroque,Baroque,1951,"Harald Keller papers, 1930-1989."
Federico Zeri,Post-Impressionism,Paul Cezanne,2000,"Cezanne, Mont Sainte-Victoire"
John Pope-Hennessy,Sienese School,Giovanni di Paolo,1993,Paradiso : the illuminations to Dante's Divine comedy by Giovanni di Paolo
Richard Krautheimer,Baroque,Baroque,1983,"Harald Keller papers, 1930-1989."
Kurt Badt,classicism,Nicolas Poussin,1969,Die Kunst des Nicolas Poussin
Richard Krautheimer,Gothic art,Gothic sculpture,1983,"Harald Keller papers, 1930-1989."
Werner Cohn,Renaissance,Fra Angelico,1956,Rückblick auf das Fra-Angelico-Jahr
Richard Krautheimer,Impressionism,Impressionism,1959,"Harald Keller papers, 1930-1989."
Stefano Tumidei,Renaissance,Michelangelo,2002,Il Michelangelo incognito: Alessandro Menganti e le arti a Bologna nell'età della Controriforma
Richard Krautheimer,Impressionism,Impressionism,1981,"Harald Keller papers, 1930-1989."
Luisa Vertova,15th century,15th century,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
John Pope-Hennessy,Middle Ages,Middle Ages,1969,Sculpture: Renaissance to rococo
John Pope-Hennessy,Sienese School,Sienese School,1947,Sienese quattrocento painting
Julian Kliemann,Baroque,Caravaggio,2016,Frises peintes : les décors des villas et palais au Cinquecento : en hommage à Luigi De Cesaris et Julian Kliemann
Wolfgang Lotz,15th century,15th century,1974,Architecture in Italy 1400-1600
Ulrich Middeldorf,18th century,18th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Stefano Tumidei,Baroque,Palazzo San Giacomo,2004,La nobile villeggiatura : i Rasponi a Palazzo San Giacomo di Russi
Richard Krautheimer,Renaissance,Renaissance,1969,"Studies in early Christian, Medieval, and Renaissance art"
Luisa Vertova,Baroque,Caravaggio,1990,Caravaggism in Europe
Ellis Waterhouse,18th century,18th century,1981,The dictionary of British 18th century painters in oils and crayons
Kurt Badt,Renaissance,Andrea Solari,1914,"Andrea Solario, sein Leben und seine Werke; ein Beitrag zur Kunstgeschichte der Lombardei"
Everett Fahy,Dutch Golden Age painting,Johannes Vermeer,1973,The Wrightsman collection
Richard Krautheimer,Baroque,Baroque,1961,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1961,"Harald Keller papers, 1930-1989."
Kurt Badt,Romanticism,Eugene Delacroix,1965,Eugene Delacroix. Werke und Ideale
Ernst Steinmann,Renaissance,Michelangelo,1932,Michelangelo e Luigi del Riccio: con documenti inediti
Everett Fahy,Renaissance,Leonardo da Vinci,1979,The legacy of Leonardo: Italian Renaissance paintings from Leningrad
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1971,Ghiberti's bronze doors
Richard Krautheimer,Gothic art,Gothic sculpture,1977,"Harald Keller papers, 1930-1989."
Federico Zeri,expressionism,Edvard Munch,2000,"Munch, the scream"
Federico Zeri,Renaissance,Venetian school,1973,Italian paintings: Venetian school; a catalogue of the collection of the Metropolitan Museum of Art
Ellis Waterhouse,Baroque,Baroque painting,1976,Roman baroque painting : a list of the principal painters and their works in and around Rome : with an introductory essay
Richard Krautheimer,Impressionism,Impressionism,1974,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Baroque,Baroque,1987,"Harald Keller papers, 1930-1989."
Ernst Steinmann,Renaissance,Sistine Chapel,1901,"Die Sixtinische Kapelle, erster teil: Bau und schmuck der kapelle unter Sixtus IV."
Richard Krautheimer,Baroque,Baroque,1945,"Harald Keller papers, 1930-1989."
John Pope-Hennessy,Renaissance,Michelangelo,1969,Sculpture: Renaissance to rococo
Leo Steinberg,Baroque,San Carlo alle Quattro Fontane,1960,San Carlo alle quattro Fontane : a study in multiple form and architectural symbolism
Everett Fahy,Renaissance,Cosimo Rosselli,2001,Cosimo Rosselli: painter of the Sistine Chapel
Richard Krautheimer,Baroque,Baroque,1975,"Harald Keller papers, 1930-1989."
Ellis Waterhouse,neoclassicism,Joshua Reynolds,1953,"Painting in Britain, 1530 to 1790"
Luisa Vertova,Renaissance,Titian,1951,Titian
Richard Krautheimer,Gothic art,Gothic sculpture,1956,"Harald Keller papers, 1930-1989."
Wolfgang Lotz,16th century,16th century,1997,Architettura in Italia : 1500-1600
Richard Krautheimer,Impressionism,Impressionism,1961,"Harald Keller papers, 1930-1989."
Julian Kliemann,16th century,16th century,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Richard Krautheimer,Baroque,Baroque,1976,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1976,"Harald Keller papers, 1930-1989."
John Pope-Hennessy,Renaissance,Donatello,1993,Donatello: sculptor
Richard Krautheimer,Impressionism,Impressionism,1977,"Harald Keller papers, 1930-1989."
Julian Kliemann,16th century,16th century,2004,Fresques italiennes du XVIe siècle : de Michel-Ange aux Carrache : 1510-1600
Werner Cohn,Baroque,Peter Paul Rubens,1951,Rubens
John Pope-Hennessy,Renaissance,Raphael,1950,Raphael
Richard Krautheimer,Baroque,Baroque,1989,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Baroque,Baroque,1965,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1970,"Harald Keller papers, 1930-1989."
Werner Cohn,15th century,15th century,1934,Untersuchungen zur Geschichte des deutschen Einblattholzschnitts im 2. Drittel des 15. Jahrhunderts
Richard Krautheimer,Byzantine art,Byzantine architecture,1965,Early Christian and Byzantine architecture
Leo Steinberg,Renaissance,Michelangelo,2020,Renaissance and baroque art: selected essays
Richard Krautheimer,Impressionism,Impressionism,1982,"Harald Keller papers, 1930-1989."
Wolfgang Lotz,15th century,15th century,1991,"Arquitectura en Italia, 1400-1600"
Ellis Waterhouse,Baroque,Baroque painting,1937,"Baroque painting in Rome, the 17th century"
Ellis Waterhouse,Renaissance,Titian,1952,Titian's Diana & Actaeon
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1939,Vignola-Studien. Beiträge zu einer Vignola-Monographie
Richard Krautheimer,Impressionism,Impressionism,1956,"Harald Keller papers, 1930-1989."
Luisa Vertova,Renaissance,Renaissance,1961,I disegni dei pittori fiorentini
John Pope-Hennessy,Renaissance,Paolo Uccello,1950,The complete work of Paolo Uccello
Luisa Vertova,Renaissance,Paolo Veronese,1952,Veronese
Kurt Badt,Renaissance,Raphael,1959,Raphael's Incendio del Borgo
Richard Krautheimer,Baroque,Baroque,1966,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1973,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Baroque,Baroque,1986,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1986,"Harald Keller papers, 1930-1989."
Kurt Badt,Renaissance,Leon Battista Alberti,1958,Drei plastische Arbeiten von Leone Battista Alberti
Kurt Badt,expressionism,Ernst Barlach,1971,"Ernst Barlach, der Bildhauer"
