historian,interest,type
Leo Steinberg,The Conversion of Saul,artifact
Ernst Steinmann,Apostolic Palace,artifact
Stefano Tumidei,Melozzo da Forlì,person
Stefano Tumidei,Michelangelo,person
Stefano Tumidei,Federico Zuccari,person
Ernst Steinmann,St. Peter's Basilica,artifact
Ernst Steinmann,Pinturicchio,person
Ernst Steinmann,Domenico Ghirlandaio,person
Stefano Tumidei,Marco Palmezzano,person
Ernst Steinmann,Michelangelo,person
Leo Steinberg,Leonardo da Vinci,person
Ernst Steinmann,Sistine Chapel,artifact
Ernst Steinmann,Sandro Botticelli,person
Ernst Steinmann,Palazzetto Zuccari,person
Leo Steinberg,Sistine Chapel,artifact
Luisa Vertova,Titian,person
Luisa Vertova,Giorgione,person
Luisa Vertova,Domenico Ghirlandaio,person
Luisa Vertova,Lorenzo Lotto,person
Luisa Vertova,Bernardino Licinio,person
Luisa Vertova,Giulio Licinio,person
Luisa Vertova,Fra Angelico,person
Luisa Vertova,Leonardo da Vinci,person
Luisa Vertova,Andrea Mantegna,person
Stefano Tumidei,St. Peter's Basilica,artifact
Stefano Tumidei,Mirandola,person
Ellis Waterhouse,El Greco,person
Everett Fahy,El Greco,person
Everett Fahy,Raphael,person
Ellis Waterhouse,Giorgione,person
Luisa Vertova,Paolo Veronese,person
Aby Warburg,Leonardo da Vinci,person
Luisa Vertova,Giovanni Bellini,person
Aby Warburg,Sandro Botticelli,person
Federico Zeri,Jacopino del Conte,person
Federico Zeri,Donato de' Bardi,person
Federico Zeri,Carlo Crivelli,person
Federico Zeri,Primavera,artifact
Federico Zeri,Fra Carnevale,person
Federico Zeri,Giotto di Bondone,person
Federico Zeri,Scipione Pulzone,person
Federico Zeri,Donatello,person
Federico Zeri,Sandro Botticelli,person
Federico Zeri,Titian,person
Federico Zeri,Sacred and Profane Love,artifact
Ellis Waterhouse,Titian,person
