historian,interest,publicationTitle,year
Ernst Steinmann,Renaissance,Rom in der Renaissance von Nicolaus V. bis auf Leo X,1902
Ernst Steinmann,Sandro Botticelli,Botticelli,1897
Ernst Steinmann,Michelangelo,Die Michelangelo-Bibliographie: 1927-1970,1927
Ernst Steinmann,Michelangelo,Die Michelangelo-Bibliographie: 1510-1926,1927
Ernst Steinmann,Michelangelo,Das Geheimnis der Medicigraeber Michel Angelos,1907
Ernst Steinmann,Michelangelo,Michelangelo im Spiegel seiner Zeit,1930
Ernst Steinmann,Michelangelo,Michelangelo e Luigi del Riccio: con documenti inediti,1932
Ernst Steinmann,Michelangelo,Die Aufzeichnungen des Michelangelo Buonarroti im Britischen Museum in London und im Vermächtnis Ernst Steinmann in Rom,1938
Ernst Steinmann,Sistine Chapel,"Die Sixtinische Kapelle, erster teil: Bau und schmuck der kapelle unter Sixtus IV.",1901
Ernst Steinmann,Sistine Chapel,"Die Sixtinische Kapelle, zweiter teil: Michelangelo.",1905
Ernst Steinmann,Michelangelo,Die Portraitdarstellungen des Michelangelo,1913
Fritz Heinemann,Giovanni Bellini,Giovanni Bellini e i Belliniani,1959
Fritz Heinemann,Titian,Titian: Die zwei ersten Jahrzehnte seiner künstlerischen Entwicklung,1928
Fritz Heinemann,Titian,Unbekannte oder wenig bekannte Werke Tizians,1968
Fritz Heinemann,Titian,La bottega di Tiziano,1980
Fritz Heinemann,Giovanni Bellini,Giovanni Bellini e i Belliniani: Volume II,1962
Fritz Heinemann,Vittore Carpaccio,Vittorio Carpaccio,1963
Fritz Heinemann,Renaissance,Zwischen Renaissance und Barock,1965
Fritz Heinemann,Paolo Veronese,Neue Beiträge zum Werk Paolo Veroneses,1981
Richard Krautheimer,Lorenzo Ghiberti,Lorenzo Ghiberti,1956
Richard Krautheimer,Renaissance,"Studies in early Christian, Medieval, and Renaissance art",1969
Richard Krautheimer,Lorenzo Ghiberti,Ghiberti's bronze doors,1971
Richard Krautheimer,High Renaissance,"The Rome of Alexander VII, 1655-1667",1975
Richard Krautheimer,Lorenzo Ghiberti,Lorenzo Ghiberti: Volume II,1970
Wolfgang Lotz,Renaissance architecture,Studies in Italian Renaissance architecture,1975
Wolfgang Lotz,Filippo Brunelleschi,"Architecture in Italy, 1400 to 1600",1972
Wolfgang Lotz,Michelangelo,"Architecture in Italy, 1500-1600",1995
Wolfgang Lotz,Galeazzo Alessi,Galeazzo Alessi e l'architettura del Cinquecento,1975
Wolfgang Lotz,Giacomo Barozzi da Vignola,Vignola-Studien. Beiträge zu einer Vignola-Monographie,1939
Wolfgang Lotz,Giacomo Barozzi da Vignola,Mostra di Jacopo Barozzi detto il Vignola,1973
Wolfgang Lotz,Renaissance,The northern Renaissance,1955
Wolfgang Lotz,Giacomo Barozzi da Vignola,Vignola-Zeichnungen,1938
Wolfgang Lotz,Renaissance,Das Raumbild in der italienischen Architekturzeichnung der Renaissance,1956
Wolfgang Lotz,Palazzo Zuccari,Der Palazzo Zuccari in Rom: ein Kunstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts,1967
Ulrich Middeldorf,Raphael,Raphael's drawings,1945
Ulrich Middeldorf,Raphael,Raphael and the ruins of Rome: the poetic dimension: in memory of Ulrich Middeldorf 1901 - 1983,1983
Ulrich Middeldorf,Renaissance medals,Renaissance medals and plaquettes: catalogue,1983
Ulrich Middeldorf,Renaissance,Early Renaissance reliefs,2001
Ulrich Middeldorf,Sandro Botticelli,"Maestri toscani del Quattrocento: Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo",1981
Ellis Waterhouse,Giorgione,Giorgione,1953
Ellis Waterhouse,El Greco,El Greco,1978
Ellis Waterhouse,Titian,Titian's Diana & Actaeon,1952
Gustav Ludwig,Vittore Carpaccio,Vittore Carpaccio: la vita e le opere,1881
Gustav Ludwig,Vittore Carpaccio,Vittore Carpaccio et la Confrérie de Sainte Ursule à Venise,1903
