"historian","interest","publicationTitle","year"
"Ernst Steinmann","Michelangelo","Die Aufzeichnungen des Michelangelo Buonarroti im Britischen Museum in London und im Vermächtnis Ernst Steinmann in Rom","1938"
"Federico Zeri","Venetian school","Italian paintings: Venetian school; a catalogue of the collection of the Metropolitan Museum of Art","1973"
"Leo Steinberg","Renaissance","Renaissance and baroque art : selected essays","2020"
"Richard Krautheimer","Ghiberti","Lorenzo Ghiberti: Volume II","1970"
"Julian Kliemann","Raphael","Italian frescoes : the high Renaissance to the Baroque","2004"
"John Pope-Hennessy","Lippi","Papers, ca. 1900-1994.",""
"Richard Krautheimer","Renaissance","The Rome of Alexander VII, 1655-1667","1975"
"Fritz Heinemann","Bellini","Giovanni Bellini e i Belliniani","1959"
"Werner Cohn","Angelico","Nuovi documenti per il B. Angelico","1956"
"Leo Steinberg","Renaissance","Michelangelo's sculpture : selected essays","2018"
"Julian Kliemann","Renaissance","Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento","1993"
"Richard Krautheimer","Renaissance","Lorenzo Ghiberti","1956"
"Federico Zeri","Botticelli","Botticelli, Allegory of spring","2000"
"Everett Fahy","Conte","Art and love in Renaissance Italy","2008"
"John Pope-Hennessy","Michelangelo","Sculpture: Renaissance to rococo","1969"
"Julian Kliemann","Paolo","Il pensiero di Paolo Giovio nelle pitture eseguite sulle sue ""Invenzioni""","1985"
"Luisa Vertova","Bellini","Giovanni Bellini","1949"
"Ernst Steinmann","Botticelli","Botticelli","1903"
"Werner Cohn","Durer","Albrecht Dürer : 1471 - 1528","1958"
"Fritz Heinemann","Bellini","Giovanni Bellini e i belliniani","1962"
"Aby Warburg","Porta","Photographs at the frontier : Aby Warburg in America 1895-1896","1998"
"Ulrich Middeldorf","Rosselli","Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo","1981"
"Ernst Steinmann","Pinturicchio","Pinturicchio","1898"
"Ulrich Middeldorf","Renaissance medals","Renaissance medals and plaquettes : catalogue","1983"
"Wolfgang Lotz","Renaissance","Architecture in Italy, 1400 to 1600","1972"
"Werner Cohn","Angelico","Rückblick auf das Fra Angelico Jahr","1956"
"Ulrich Middeldorf","Renaissance","Renaissance medals and plaquettes : catalogue","1983"
"Ulrich Middeldorf","Raphael","Raphael's drawings","1945"
"Werner Cohn","Hans Holbein","Der Wandel der Architekturgestaltung in den Werken Hans Holbeins d.J.: ein Beitrag zur Holbein-Chronologie","1930"
"Aby Warburg","Renaissance Art","Photographs at the frontier : Aby Warburg in America 1895-1896","1998"
"Luisa Vertova","Ghirlandaio","Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc.","1981"
"Leo Steinberg","Sistine Chapel","Michelangelo's painting : selected essays","2019"
"Leo Steinberg","Michelangelo","The metaphors of love and birth in Michelangelo's Pietàs","1970"
"Kornél Fabriczy","Italian Renaissance","Medaillen der italienischen renaissance","1900"
"Wolfgang Lotz","Vignola","Inaugurazione della Mostra di Jacopo Barozzi ""Il Vignola"", nel quarto centenario della morte","1973"
"Everett Fahy","Vinci","Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]","2011"
"Federico Zeri","Venetian school","Italian paintings : Sienese and Central Italian schools : a catalogue of the collection of the Metropolitan Museum of Art","1980"
"John Pope-Hennessy","Renaissance bronzes","Renaissance bronzes from the Samuel H. Kress collection: reliefs, plaquettes, statuettes, utensils and mortars","1965"
"Federico Zeri","Sacred and Profane Love","Titian, sacred and profane love","2000"
"Fritz Heinemann","Titian","Tizian, die zwei ersten Jahrzehnte seiner künstlerischen Entwichlung","1928"
"Stefano Tumidei","Renaissance","Marco Palmezzano : il Rinascimento nelle Romagne","2005"
"Leo Steinberg","The Crucifixion of St. Peter","Michelangelo's painting : selected essays","2019"
"Federico Zeri","Renaissance","Renaissance et pseudo renaissance","1985"
"Leo Steinberg","Porta","Robert Rauschenberg","2002"
"Wolfgang Lotz","Italian Renaissance","Architecture in Italy, 1400 to 1600","1972"
"Richard Krautheimer","Renaissance Art","Studies in early Christian, Medieval, and Renaissance art","1969"
"Fritz Heinemann","Renaissance","Zwischen Renaissance und Barock","1965"
"Leo Steinberg","Conte","Michelangelo's painting : selected essays","2019"
"Aby Warburg","Renaissance","Photographs at the frontier : Aby Warburg in America 1895-1896","1998"
"Wolfgang Lotz","Vignola","Mostra di Jacopo Barozzi detto il Vignola","1973"
"Stefano Tumidei","Zuccari","Studi sulla pittura in Emilia e in Romagna : da Melozzo a Federico Zuccari : 1987-2008","2011"
"Everett Fahy","Renaissance","The legacy of Leonardo : Italian Renaissance paintings from Leningrad","1979"
"Everett Fahy","Renaissance Art","Art and love in Renaissance Italy","2008"
"Julian Kliemann","perspective","Frises peintes : les décors des villas et palais au Cinquecento : en hommage à Luigi De Cesaris et Julian Kliemann","2016"
"Julian Kliemann","Michelangelo","Italian frescoes : the high Renaissance to the Baroque","2004"
"Leo Steinberg","Conte","Robert Rauschenberg","2002"
"Fritz Heinemann","Carpaccio","Vittorio Carpaccio","1963"
"Richard Krautheimer","Michelangelo","Ghiberti's bronze doors","1971"
"Leo Steinberg","Raphael","Renaissance and baroque art : selected essays","2020"
"Fritz Heinemann","Bellini","Giovanni Bellini e i belliniani","1062"
"Kurt Badt","Raphael","Raphael's Incendio del Borgo","1959"
"John Pope-Hennessy","Lippi","Director's Office Records of Receptions, Events, and Lectures, 1957-1989.",""
"Luisa Vertova","Angelico","Beato Angelico","1951"
"Everett Fahy","Italian Renaissance","The legacy of Leonardo : Italian Renaissance paintings from Leningrad","1979"
"Everett Fahy","Vinci","The legacy of Leonardo : Italian Renaissance paintings from Leningrad","1979"
"Leo Steinberg","Pinturicchio","Renaissance and baroque art : selected essays","2020"
"Leo Steinberg","Renaissance Art","The sexuality of Christ in Renaissance art and in modern oblivion","1983"
"Wolfgang Lotz","Alessi","Galeazzo Alessi e l'architettura del Cinquecento : atti del convegno internazionale di studi Genova 16-20 Aprile 1974","1975"
"Fritz Heinemann","Paolo","Neue Beiträge zum Werk Paolo Veroneses","1981"
"Fritz Heinemann","Mansueti","Spätwerke des Giovanni Mansueti","1965"
"Julian Kliemann","Michelangelo","Michelangelo und die Fassade von San Lorenzo in Florenz : zur Geschichte der Skulpturenfassade der Renaissance","2010"
"Federico Zeri","Titian","Titian, sacred and profane love","2000"
"Fritz Heinemann","Bellini","Giovanni Bellini e i Belliniani","1991"
"Aby Warburg","Vasari","Aby Warburg and the image in motion","1998"
"Werner Cohn","Renaissance","Maestri sconosciuti del Quattrocento Fiorentino","1960"
"Julian Kliemann","Renaissance","Italian frescoes, high Renaissance and mannerism, 1510-1600","2004"
"Aby Warburg","Conte","The renewal of pagan antiquity : contributions to the cultural history of the European Renaissance","1932"
"Wolfgang Lotz","Renaissance","Studies in Italian Renaissance architecture","1975"
"Kornél Fabriczy","Brunelleschi","Filippo Brunelleschi : Sein Leben und seine Werke","1892"
